the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,street,segmentid,Rank,PMP_ID,NTA2020,Boro,Category,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SHAPE_Leng
"MULTILINESTRING ((-73.97427276109973 40.724650443681824, -73.97420280686399 40.72462052301994, -73.97415438954818 40.724574613207935, -73.97413245355199 40.724524152750995, -73.97413217538497 40.72447843383577, -73.97414518501378 40.72444152398453))",1,Manhattan,103,2,74,27,7,EAST 10 STREET,184870,3,31674,MN0303,MN,Neighborhood,East Village,AE,,1,93.6318467829
"MULTILINESTRING ((-74.00980015310844 40.733203671622206, -74.01016258133484 40.73316472024743))",1,Manhattan,102,3,66,27,10,WEST 10 STREET,164167,3,30988,MN0203,MN,Neighborhood,West Village,AE,,1,101.441920416
"MULTILINESTRING ((-73.97456683912344 40.724621887231635, -73.97450372518449 40.72459488951504))",1,Manhattan,103,2,74,27,7,EAST 10 STREET,9007789,3,31706,MN0303,MN,Neighborhood,East Village,AE,,1,20.0694507595
"MULTILINESTRING ((-73.97516416958452 40.72487739752628, -73.97506064089181 40.72483311332204))",1,Manhattan,103,2,74,27,"7,12",EAST 10 STREET,9007788,3,31706,MN0303,MN,Neighborhood,East Village,AE,,1,32.9205011852
"MULTILINESTRING ((-73.97506064089181 40.72483311332204, -73.97456683912344 40.724621887231635))",1,Manhattan,103,2,74,27,7,EAST 10 STREET,9007790,3,31706,MN0303,MN,Neighborhood,East Village,AE,,1,157.022039688
"MULTILINESTRING ((-73.97408441816093 40.72441564229531, -73.9734858742261 40.72416070422874))",1,Manhattan,103,2,74,27,7,EAST 10 STREET,9007792,3,31709,MN0303,MN,Neighborhood,East Village,AE,,1,190.134864441
"MULTILINESTRING ((-73.97414518501378 40.72444152398453, -73.97408441816093 40.72441564229531))",1,Manhattan,103,2,74,27,7,EAST 10 STREET,9007791,3,31709,MN0303,MN,Neighborhood,East Village,AE,,1,19.3031739848
"MULTILINESTRING ((-73.99887249148955 40.734838964391614, -73.99924564883537 40.734788124764684))",1,Manhattan,102,3,66,27,10,WEST 10 STREET,110938,3,30823,MN0203,MN,Neighborhood,West Village,X,AREA OF MINIMAL FLOOD HAZARD,5,105.061010527
"MULTILINESTRING ((-73.99871443868257 40.73478386065739, -73.99887249148955 40.734838964391614))",1,Manhattan,102,3,66,27,10,WEST 10 STREET,110937,3,30823,MN0203,MN,Neighborhood,"Greenwich Village,West Village",X,AREA OF MINIMAL FLOOD HAZARD,5,48.1837442632
"MULTILINESTRING ((-73.98735992161758 40.73000767103485, -73.98680764156731 40.72977688979813))",1,Manhattan,103,2,66,27,12,EAST 10 STREET,32933,3,31648,MN0303,MN,Neighborhood,East Village,X,AREA OF MINIMAL FLOOD HAZARD,6,174.640762132
"MULTILINESTRING ((-73.99039010042846 40.73128852278689, -73.98905157169376 40.730723064141046))",1,Manhattan,"103,102",2,66,"28,27",12,EAST 10 STREET,32778,3,31607,MN0303,MN,Neighborhood,"Greenwich Village,East Village",X,AREA OF MINIMAL FLOOD HAZARD,,424.340514715
"MULTILINESTRING ((-73.99997260615292 40.734687900702035, -74.00138878549427 40.734482819660876))",1,Manhattan,102,3,66,27,10,WEST 10 STREET,32424,3,31023,MN0203,MN,Neighborhood,West Village,X,AREA OF MINIMAL FLOOD HAZARD,5,399.524530331
"MULTILINESTRING ((-73.98905157169376 40.730723064141046, -73.98735992161758 40.73000767103485))",1,Manhattan,103,2,66,27,12,EAST 10 STREET,32924,3,31538,MN0303,MN,Neighborhood,East Village,X,AREA OF MINIMAL FLOOD HAZARD,,536.425328228
"MULTILINESTRING ((-73.98905157169376 40.730723064141046, -73.98735992161758 40.73000767103485))",1,Manhattan,103,2,66,27,12,EAST 10 STREET,32924,3,31538,MN0303,MN,Neighborhood,East Village,X,AREA OF MINIMAL FLOOD HAZARD,,536.425328228
"MULTILINESTRING ((-74.00239106928416 40.73433981155454, -74.00296962511015 40.73425234075494))",1,Manhattan,102,3,66,27,10,WEST 10 STREET,32222,3,30890,MN0203,MN,Neighborhood,West Village,X,AREA OF MINIMAL FLOOD HAZARD,5,163.476235567
"MULTILINESTRING ((-73.97621107402273 40.7253253427198, -73.97516416958452 40.72487739752628))",1,Manhattan,103,2,74,27,"7,12",EAST 10 STREET,34609,3,31592,MN0303,MN,Neighborhood,East Village,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD",1,332.922157311
"MULTILINESTRING ((-73.98680764156731 40.72977688979813, -73.98443161455354 40.72876843766964))",1,Manhattan,103,2,"74,66",27,12,EAST 10 STREET,32937,3,31521,MN0303,MN,Neighborhood,East Village,X,AREA OF MINIMAL FLOOD HAZARD,"5,6",754.096863159
"MULTILINESTRING ((-73.97621107402273 40.7253253427198, -73.97516416958452 40.72487739752628))",1,Manhattan,103,2,74,27,"7,12",EAST 10 STREET,34609,3,31592,MN0303,MN,Neighborhood,East Village,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD",1,332.922157311
"MULTILINESTRING ((-73.97753531627484 40.725876674325, -73.97621107402273 40.7253253427198))",1,Manhattan,103,2,74,27,12,EAST 10 STREET,34605,3,31617,MN0303,MN,Neighborhood,East Village,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD",1,418.414123413
"MULTILINESTRING ((-74.00456134410614 40.734009628821234, -74.00629424175662 40.733742042231114))",1,Manhattan,102,3,66,27,10,WEST 10 STREET,31976,3,31038,MN0203,MN,Neighborhood,West Village,X,AREA OF MINIMAL FLOOD HAZARD,5,490.050340317
"MULTILINESTRING ((-74.00456134410614 40.734009628821234, -74.00629424175662 40.733742042231114))",1,Manhattan,102,3,66,27,10,WEST 10 STREET,31976,3,31038,MN0203,MN,Neighborhood,West Village,X,AREA OF MINIMAL FLOOD HAZARD,5,490.050340317
"MULTILINESTRING ((-73.98735992161758 40.73000767103485, -73.98680764156731 40.72977688979813))",1,Manhattan,103,2,66,27,12,EAST 10 STREET,32933,3,31648,MN0303,MN,Neighborhood,East Village,X,AREA OF MINIMAL FLOOD HAZARD,6,174.640762132
"MULTILINESTRING ((-73.9822281385452 40.727845898678325, -73.97990650280138 40.72686577232671))",1,Manhattan,103,2,74,27,12,EAST 10 STREET,33247,3,31642,MN0303,MN,Neighborhood,East Village,X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","1,3,4,5",735.922084792
"MULTILINESTRING ((-73.98735992161758 40.73000767103485, -73.98680764156731 40.72977688979813))",1,Manhattan,103,2,66,27,12,EAST 10 STREET,32933,3,31648,MN0303,MN,Neighborhood,East Village,X,AREA OF MINIMAL FLOOD HAZARD,6,174.640762132
"MULTILINESTRING ((-73.97990650280138 40.72686577232671, -73.97753531627484 40.725876674325))",1,Manhattan,103,2,74,27,12,EAST 10 STREET,33253,3,31641,MN0303,MN,Neighborhood,East Village,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","1,3,4",749.534981331
"MULTILINESTRING ((-73.97621107402273 40.7253253427198, -73.97516416958452 40.72487739752628))",1,Manhattan,103,2,74,27,"7,12",EAST 10 STREET,34609,3,31592,MN0303,MN,Neighborhood,East Village,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD",1,332.922157311
"MULTILINESTRING ((-73.99924564883537 40.734788124764684, -73.99997260615292 40.734687900702035))",1,Manhattan,102,3,66,27,10,WEST 10 STREET,32432,3,30868,MN0203,MN,Neighborhood,West Village,X,AREA OF MINIMAL FLOOD HAZARD,5,204.74861921
"MULTILINESTRING ((-73.9914597113568 40.73173815884297, -73.99039010042846 40.73128852278689))",1,Manhattan,"103,102",2,66,"28,27",12,EAST 10 STREET,32771,3,30760,MN0202,MN,Neighborhood,"Greenwich Village,East Village",X,AREA OF MINIMAL FLOOD HAZARD,,338.694464394
"MULTILINESTRING ((-74.00734413931487 40.733588002188874, -74.00855364212902 40.73340091018993))",1,Manhattan,102,3,66,27,10,WEST 10 STREET,31957,3,31036,MN0203,MN,Neighborhood,West Village,X,AREA OF MINIMAL FLOOD HAZARD,"1,4,5",342.063753783
"MULTILINESTRING ((-74.00138878549427 40.734482819660876, -74.00239106928416 40.73433981155454))",1,Manhattan,102,3,66,27,10,WEST 10 STREET,32232,3,31025,MN0203,MN,Neighborhood,West Village,X,AREA OF MINIMAL FLOOD HAZARD,5,282.614892321
"MULTILINESTRING ((-74.00410039469081 40.734079919099266, -74.00456134410614 40.734009628821234))",1,Manhattan,102,3,66,27,10,WEST 10 STREET,293753,3,31095,MN0203,MN,Neighborhood,West Village,X,AREA OF MINIMAL FLOOD HAZARD,5,130.288744898
"MULTILINESTRING ((-74.00677287390361 40.733671819573004, -74.00683647339166 40.73366248835256))",1,Manhattan,102,3,66,27,10,WEST 10 STREET,294110,3,31098,MN0203,MN,Neighborhood,West Village,X,AREA OF MINIMAL FLOOD HAZARD,5,17.9508774064
"MULTILINESTRING ((-74.00396679567629 40.734100290568044, -74.00410039469081 40.734079919099266))",1,Manhattan,102,3,66,27,10,WEST 10 STREET,293752,3,31095,MN0203,MN,Neighborhood,West Village,X,AREA OF MINIMAL FLOOD HAZARD,5,37.7620634662
"MULTILINESTRING ((-74.00683647339166 40.73366248835256, -74.00734413931487 40.733588002188874))",1,Manhattan,102,3,66,27,10,WEST 10 STREET,294111,3,31098,MN0203,MN,Neighborhood,West Village,X,AREA OF MINIMAL FLOOD HAZARD,"4,5",143.288321392
"MULTILINESTRING ((-74.00629424175662 40.733742042231114, -74.00677287390361 40.733671819573004))",1,Manhattan,102,3,66,27,10,WEST 10 STREET,294108,3,31098,MN0203,MN,Neighborhood,West Village,X,AREA OF MINIMAL FLOOD HAZARD,5,135.093152857
"MULTILINESTRING ((-73.99643264525862 40.733830151233335, -73.99871443868257 40.73478386065739))",1,Manhattan,102,3,66,27,10,WEST 10 STREET,330367,4,30651,MN0202,MN,Community,"Greenwich Village,West Village",X,AREA OF MINIMAL FLOOD HAZARD,5,721.544977504
"MULTILINESTRING ((-73.99357025497054 40.73262803868263, -73.9914597113568 40.73173815884297))",1,Manhattan,102,2,66,"28,27",12,EAST 10 STREET,310640,3,30736,MN0202,MN,Neighborhood,Greenwich Village,X,AREA OF MINIMAL FLOOD HAZARD,,668.772633423
"MULTILINESTRING ((-73.99381380321243 40.73273072346245, -73.99357025497054 40.73262803868263))",1,Manhattan,102,2,66,27,12,EAST 10 STREET,310639,3,30736,MN0202,MN,Neighborhood,Greenwich Village,X,AREA OF MINIMAL FLOOD HAZARD,6,77.1725663722
"MULTILINESTRING ((-73.99549001342321 40.7334361423017, -73.99485747073328 40.73316994721269))",1,Manhattan,102,"3,2",66,27,"10,12",EAST 10 STREET,329691,3,30779,MN0202,MN,Neighborhood,Greenwich Village,X,AREA OF MINIMAL FLOOD HAZARD,"5,6",200.343101151
"MULTILINESTRING ((-73.99485747073328 40.73316994721269, -73.99381380321243 40.73273072346245))",1,Manhattan,102,2,66,27,12,EAST 10 STREET,329692,3,30779,MN0202,MN,Neighborhood,Greenwich Village,X,AREA OF MINIMAL FLOOD HAZARD,6,330.561009542
"MULTILINESTRING ((-73.99549001342321 40.7334361423017, -73.99643264525862 40.733830151233335))",1,Manhattan,102,"3,2",66,27,"10,12",WEST 10 STREET,330366,4,30651,MN0202,MN,Community,Greenwich Village,X,AREA OF MINIMAL FLOOD HAZARD,"5,6",298.083657441
"MULTILINESTRING ((-74.00855364212902 40.73340091018993, -74.00980015310844 40.733203671622206))",1,Manhattan,102,3,66,27,10,WEST 10 STREET,31704,3,30982,MN0203,MN,Neighborhood,West Village,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","1,4,5",352.855707957
"MULTILINESTRING ((-73.97450372518449 40.72459488951504, -73.97452097298098 40.724558791018644, -73.97452106893567 40.72455858482326, -73.97452107965742 40.72455840472377, -73.97452561912426 40.724511543229106, -73.97452563217574 40.72451146128567, -73.97452559670027 40.72451137212739, -73.9745068919369 40.72445748962077, -73.97450677252212 40.72445713929623, -73.97450653588149 40.72445690511144, -73.97445710220703 40.7244066358355, -73.97445691289896 40.72440643768147, -73.9744565933652 40.7244063025342, -73.97438145577014 40.72437416467662, -73.97438114925649 40.72437403043252, -73.97438084033472 40.72437400244803, -73.97429865120685 40.72436799574483, -73.97429829493848 40.724367969550514, -73.97429786878648 40.72436806851142, -73.97422762608271 40.724383910777526, -73.97422749468717 40.72438393776339, -73.9742273881378 40.724383991770104, -73.97417714346656 40.72441128305166, -73.97417694220381 40.72441139196818, -73.97417674091001 40.724411581029955, -73.97414518501378 40.72444152398453))",1,Manhattan,103,2,74,27,7,EAST 10 STREET,115237,3,31674,MN0303,MN,Neighborhood,East Village,AE,,1,173.747219312
"MULTILINESTRING ((-73.93724220985287 40.79177208128537, -73.93664932674078 40.79152358797902))",1,Manhattan,111,8,68,30,13,EAST 110 STREET,321161,3,35119,MN1101,MN,Neighborhood,East Harlem (South),AE,,"2,3",187.478079519
"MULTILINESTRING ((-73.94616864212841 40.795521794564564, -73.94602913175147 40.79546149488161))",1,Manhattan,111,8,68,"30,29",13,EAST 110 STREET,166144,3,35221,MN1101,MN,Neighborhood,East Harlem (South),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4,44.4385217454
"MULTILINESTRING ((-73.94281007343187 40.794131451964475, -73.94056279664314 40.793187915363866))",1,Manhattan,111,8,68,29,13,EAST 110 STREET,68369,3,35258,MN1101,MN,Neighborhood,"East Harlem (South),East Harlem (North)",X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,"3,4",710.893637157
"MULTILINESTRING ((-73.94056279664314 40.793187915363866, -73.93819346867386 40.79218819432406))",1,Manhattan,111,8,68,"30,29",13,EAST 110 STREET,68375,3,35160,MN1101,MN,Neighborhood,"East Harlem (South),East Harlem (North)","AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2,3",750.383147599
"MULTILINESTRING ((-73.93819346867386 40.79218819432406, -73.93724220985287 40.79177208128537))",1,Manhattan,111,8,68,"30,29",13,EAST 110 STREET,68438,3,35074,MN1101,MN,Neighborhood,"East Harlem (South),East Harlem (North)",AE,,"2,3",303.915195754
"MULTILINESTRING ((-73.94884558981292 40.7967044235911, -73.94764528156958 40.79615631861811))",1,Manhattan,111,"8,9",68,30,13,EAST 110 STREET,37962,3,35125,MN1101,MN,Neighborhood,East Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,"4,5",387.72174088
"MULTILINESTRING ((-73.9464503719858 40.79564285933846, -73.94616864212841 40.795521794564564))",1,Manhattan,111,8,68,30,13,EAST 110 STREET,9000125,3,35221,MN1101,MN,Neighborhood,East Harlem (South),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4,89.6130874903
"MULTILINESTRING ((-73.94334467959126 40.79435798466092, -73.94281007343187 40.794131451964475))",1,Manhattan,111,8,68,29,13,EAST 110 STREET,294216,3,35201,MN1101,MN,Neighborhood,"East Harlem (South),East Harlem (North)",X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,"3,4",169.480537741
"MULTILINESTRING ((-73.94374896274326 40.794529471305516, -73.94334467959126 40.79435798466092))",1,Manhattan,111,8,68,29,13,EAST 110 STREET,294215,3,35201,MN1101,MN,Neighborhood,East Harlem (South),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4,128.196684288
"MULTILINESTRING ((-73.94440664155013 40.794808437544056, -73.94374896274326 40.794529471305516))",1,Manhattan,111,8,68,"30,29",13,EAST 110 STREET,294207,3,35201,MN1101,MN,Neighborhood,East Harlem (South),X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",4,208.54618557
"MULTILINESTRING ((-73.94602913175147 40.79546149488161, -73.94590642230911 40.79541747494987))",1,Manhattan,111,8,68,"30,29",13,EAST 110 STREET,166197,3,35164,MN1101,MN,Neighborhood,East Harlem (South),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4,37.5713156321
"MULTILINESTRING ((-73.94523486618829 40.795144770084555, -73.94514622088332 40.795108772766966))",1,Manhattan,111,8,68,"30,29",13,EAST 110 STREET,9003863,3,35164,MN1101,MN,Neighborhood,East Harlem (South),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4,27.8287813366
"MULTILINESTRING ((-73.94523486618829 40.795144770084555, -73.94514622088332 40.795108772766966))",1,Manhattan,111,8,68,"30,29",13,EAST 110 STREET,9003863,3,35164,MN1101,MN,Neighborhood,East Harlem (South),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4,27.8287813366
"MULTILINESTRING ((-73.94590642230911 40.79541747494987, -73.94523486618829 40.795144770084555))",1,Manhattan,111,8,68,"30,29",13,EAST 110 STREET,9003862,3,35164,MN1101,MN,Neighborhood,East Harlem (South),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4,210.823554244
"MULTILINESTRING ((-73.94514622088332 40.795108772766966, -73.94440664155013 40.794808437544056))",1,Manhattan,111,8,68,"30,29",13,EAST 110 STREET,9003864,3,35164,MN1101,MN,Neighborhood,East Harlem (South),X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",4,232.180447845
"MULTILINESTRING ((-73.96338788813405 40.80362899260196, -73.96392663189913 40.803857586550244))",1,Manhattan,109,7,69,"30,31",10,WEST 111 STREET,219583,3,34374,MN0901,MN,Neighborhood,Morningside Heights,X,AREA OF MINIMAL FLOOD HAZARD,,170.828390257
"MULTILINESTRING ((-73.96338788813405 40.80362899260196, -73.96392663189913 40.803857586550244))",1,Manhattan,109,7,69,"30,31",10,WEST 111 STREET,219583,3,34374,MN0901,MN,Neighborhood,Morningside Heights,X,AREA OF MINIMAL FLOOD HAZARD,,170.828390257
"MULTILINESTRING ((-73.94649845085657 40.7965116623481, -73.94635517835988 40.79645131269704))",1,Manhattan,111,8,68,30,13,EAST 111 STREET,294233,4,35200,MN1101,MN,Community,East Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,4,45.3552246047
"MULTILINESTRING ((-73.94717575918467 40.796797149517246, -73.94649845085657 40.7965116623481))",1,Manhattan,111,"8,9",68,30,13,EAST 111 STREET,294232,4,35200,MN1101,MN,Community,East Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,"4,5",214.445938263
"MULTILINESTRING ((-73.94635517835988 40.79645131269704, -73.94569536515303 40.79617338142359))",1,Manhattan,111,8,68,30,13,EAST 111 STREET,294227,4,35200,MN1101,MN,Community,East Harlem (South),X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",4,208.87544639
"MULTILINESTRING ((-73.95769540730969 40.801231346896344, -73.9591474111711 40.80184375972432))",1,Manhattan,"109,110","7,9","70,69",30,13,WEST 111 STREET,38344,3,34703,MN1001,MN,Neighborhood,"Morningside Heights,Harlem (South)",X,AREA OF MINIMAL FLOOD HAZARD,,459.769272994
"MULTILINESTRING ((-73.94394771046595 40.795435539629466, -73.94234988114124 40.79475532424409))",1,Manhattan,111,8,68,29,13,EAST 111 STREET,38104,4,35100,MN1101,MN,Community,"East Harlem (South),East Harlem (North)",X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","3,4",507.098807284
"MULTILINESTRING ((-73.94394771046595 40.795435539629466, -73.94234988114124 40.79475532424409))",1,Manhattan,111,8,68,29,13,EAST 111 STREET,38104,4,35100,MN1101,MN,Community,"East Harlem (South),East Harlem (North)",X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","3,4",507.098807284
"MULTILINESTRING ((-73.94878702865125 40.79748283818328, -73.95192504741644 40.79879447688279))",1,Manhattan,"110,111",9,68,30,13,WEST 111 STREET,166139,3,34690,MN1001,MN,Neighborhood,"Harlem (South),East Harlem (South)",X,AREA OF MINIMAL FLOOD HAZARD,"5,6",991.581310742
"MULTILINESTRING ((-73.95493042925956 40.80006331509464, -73.95769540730969 40.801231346896344))",1,Manhattan,110,9,"70,69",30,13,WEST 111 STREET,166363,3,34714,MN1001,MN,Neighborhood,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,,875.85083699
"MULTILINESTRING ((-73.95478165422121 40.80000056046798, -73.95485413740533 40.800031083386266))",1,Manhattan,110,9,70,30,13,WEST 111 STREET,166410,3,34722,MN1001,MN,Neighborhood,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,6,22.9432658586
"MULTILINESTRING ((-73.94544601362905 40.79606681558519, -73.94394771046595 40.795435539629466))",1,Manhattan,111,8,68,29,13,EAST 111 STREET,166200,4,35079,MN1101,MN,Community,East Harlem (South),X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",4,474.343679739
"MULTILINESTRING ((-73.95493042925956 40.80006331509464, -73.95769540730969 40.801231346896344))",1,Manhattan,110,9,"70,69",30,13,WEST 111 STREET,166363,3,34714,MN1001,MN,Neighborhood,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,,875.85083699
"MULTILINESTRING ((-73.94555814083994 40.79611296518919, -73.94544601362905 40.79606681558519))",1,Manhattan,111,8,68,"30,29",13,EAST 111 STREET,166199,4,35079,MN1101,MN,Community,East Harlem (South),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4,35.3066017513
"MULTILINESTRING ((-73.94544601362905 40.79606681558519, -73.94394771046595 40.795435539629466))",1,Manhattan,111,8,68,29,13,EAST 111 STREET,166200,4,35079,MN1101,MN,Community,East Harlem (South),X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",4,474.343679739
"MULTILINESTRING ((-73.94878702865125 40.79748283818328, -73.95192504741644 40.79879447688279))",1,Manhattan,"110,111",9,68,30,13,WEST 111 STREET,166139,3,34690,MN1001,MN,Neighborhood,"Harlem (South),East Harlem (South)",X,AREA OF MINIMAL FLOOD HAZARD,"5,6",991.581310742
"MULTILINESTRING ((-73.94234988114124 40.79475532424409, -73.94010645731751 40.79381700277388))",1,Manhattan,111,8,68,29,13,EAST 111 STREET,68370,4,35301,MN1101,MN,Community,"East Harlem (South),East Harlem (North)",X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","3,4",709.03683688
"MULTILINESTRING ((-73.94234988114124 40.79475532424409, -73.94010645731751 40.79381700277388))",1,Manhattan,111,8,68,29,13,EAST 111 STREET,68370,4,35301,MN1101,MN,Community,"East Harlem (South),East Harlem (North)",X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","3,4",709.03683688
"MULTILINESTRING ((-73.94234988114124 40.79475532424409, -73.94010645731751 40.79381700277388))",1,Manhattan,111,8,68,29,13,EAST 111 STREET,68370,4,35301,MN1101,MN,Community,"East Harlem (South),East Harlem (North)",X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","3,4",709.03683688
"MULTILINESTRING ((-73.95208457901634 40.79886215280741, -73.95240721955768 40.79900066622176))",1,Manhattan,110,9,"68,70",30,13,WEST 111 STREET,166414,3,34713,MN1001,MN,Neighborhood,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,6,102.598555764
"MULTILINESTRING ((-73.95201557561985 40.79883253369099, -73.95208457901634 40.79886215280741))",1,Manhattan,110,9,68,30,13,WEST 111 STREET,166413,3,34713,MN1001,MN,Neighborhood,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,6,21.9419869489
"MULTILINESTRING ((-73.9655876913726 40.80456272373964, -73.9656440471453 40.80458664698491))",1,Manhattan,109,7,69,30,10,WEST 111 STREET,310600,3,34374,MN0901,MN,Neighborhood,Morningside Heights,X,AREA OF MINIMAL FLOOD HAZARD,,17.871435877
"MULTILINESTRING ((-73.96678530102315 40.80506479768483, -73.96725546341696 40.80525940834496))",1,Manhattan,109,7,69,31,10,WEST 111 STREET,314114,3,34300,MN0901,MN,Neighborhood,Morningside Heights,X,AREA OF MINIMAL FLOOD HAZARD,,148.220422053
"MULTILINESTRING ((-73.96392663189913 40.803857586550244, -73.96417351418623 40.80396239333854))",1,Manhattan,109,7,69,"30,31",10,WEST 111 STREET,313285,3,34374,MN0901,MN,Neighborhood,Morningside Heights,X,AREA OF MINIMAL FLOOD HAZARD,,78.2922001698
"MULTILINESTRING ((-73.96725546341696 40.80525940834496, -73.96772276950853 40.8054528330261))",1,Manhattan,109,7,69,31,10,WEST 111 STREET,310132,3,34300,MN0901,MN,Neighborhood,Morningside Heights,X,AREA OF MINIMAL FLOOD HAZARD,,147.318988714
"MULTILINESTRING ((-73.9644128808932 40.80406400861053, -73.9649694238709 40.80430026730445))",1,Manhattan,109,7,69,30,10,WEST 111 STREET,330464,3,34374,MN0901,MN,Neighborhood,Morningside Heights,X,AREA OF MINIMAL FLOOD HAZARD,,176.491361369
"MULTILINESTRING ((-73.96522706633186 40.80440963882421, -73.9655876913726 40.80456272373964))",1,Manhattan,109,7,69,30,10,WEST 111 STREET,310599,3,34374,MN0901,MN,Neighborhood,Morningside Heights,X,AREA OF MINIMAL FLOOD HAZARD,,114.360521711
"MULTILINESTRING ((-73.96417351418623 40.80396239333854, -73.9644128808932 40.80406400861053))",1,Manhattan,109,7,69,30,10,WEST 111 STREET,330463,3,34374,MN0901,MN,Neighborhood,Morningside Heights,X,AREA OF MINIMAL FLOOD HAZARD,,75.9085665704
"MULTILINESTRING ((-73.9649694238709 40.80430026730445, -73.96522706633186 40.80440963882421))",1,Manhattan,109,7,69,30,10,WEST 111 STREET,309985,3,34374,MN0901,MN,Neighborhood,Morningside Heights,X,AREA OF MINIMAL FLOOD HAZARD,,81.7035232848
"MULTILINESTRING ((-73.9386254686507 40.793191461976306, -73.93849852345673 40.793137842453866))",1,Manhattan,111,8,68,29,13,EAST 111 STREET,9000224,4,35179,MN1101,MN,Community,East Harlem (North),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3,40.2141236621
"MULTILINESTRING ((-73.94010645731751 40.79381700277388, -73.9386254686507 40.793191461976306))",1,Manhattan,111,8,68,29,13,EAST 111 STREET,9000222,4,35179,MN1101,MN,Community,East Harlem (North),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,"3,4",469.150019814
"MULTILINESTRING ((-73.96631999800867 40.80487219553234, -73.96678530102315 40.80506479768483))",1,Manhattan,109,7,69,31,10,WEST 111 STREET,314113,3,34300,MN0901,MN,Neighborhood,Morningside Heights,X,AREA OF MINIMAL FLOOD HAZARD,,146.689317845
"MULTILINESTRING ((-73.96725546341696 40.80525940834496, -73.96772276950853 40.8054528330261))",1,Manhattan,109,7,69,31,10,WEST 111 STREET,310132,3,34300,MN0901,MN,Neighborhood,Morningside Heights,X,AREA OF MINIMAL FLOOD HAZARD,,147.318988714
"MULTILINESTRING ((-73.94569536515303 40.79617338142359, -73.94555814083994 40.79611296518919))",1,Manhattan,111,8,68,"30,29",13,EAST 111 STREET,166146,4,35200,MN1101,MN,Community,East Harlem (South),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4,43.9103758764
"MULTILINESTRING ((-73.93773612108242 40.792815804099696, -73.93679209280117 40.79240392815076))",1,Manhattan,111,8,68,"30,29",13,EAST 111 STREET,68451,4,35075,MN1101,MN,Community,"East Harlem (South),East Harlem (North)",AE,,"2,3",301.407953282
