ConditionHazard #,Class,Number,Type,Extent,Problem,Location/Comments,Priority,Cause,Feature #
43718,Condition,,Litter,,Light,paper in toilet stall,,0,240552
45122,Condition,,Litter,,Light,in stall,,0,260133
44800,Condition,,Damaged,,,stall door hard to stay open in Womens PR,,0,255319
44832,Condition,,Litter,,Light,in Men's PR stall,,0,255562
44849,Condition,,Litter,,Light,cardboard within All-Gender PR,,0,255794
44883,Condition,,Litter,,Light,in stall,,0,256194
44885,Condition,,Litter,,Light,,,0,256223
44140,Condition,,Fixture Deterioration,,Light,enamel on sink & urinal deteriorated,,0,246904
44323,Condition,1,Changing Table Damaged,1,,(opens greater than 90 degrees),,0,249312
44326,Condition,1,Toilets OOS,1,,,,0,249344
45137,Condition,,Litter,,Light,in stalls,,0,260442
45253,Condition,1,Dispensers Missing Soap,1,,,,1,262412
45373,Condition,,Changing Table Damaged,,,in the men's restroom. Wrapped with warning tape.,,0,264175
45374,Condition,1,Dispensers Missing Soap,2,,,,0,264186
46,Condition,1,Dispensers Missing Soap,1,,,,0,462
47,Condition,,No Paper Towels / Hand Dryer,,,,,0,462
154,Condition,,Litter,,Heavy,,,0,923
264,Condition,1,Soap Globe Missing,1,,,,0,1287
265,Condition,,,,,towel dispenser held closed with tape,,0,1287
436,Condition,1,No Toilet Paper,1,,,,0,2091
437,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,2091
714,Condition,,Paint Uneven / Not Uniform,,Heavy,,,0,2995
757,Condition,1,Soap Dispensers Missing,1,,,,0,3195
762,Condition,,Marker,,,on stall door,,0,3227
763,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,3229
764,Condition,1,Dispensers Missing Soap,1,,,,0,3229
772,Condition,1,Soap Globe Missing,1,,,,0,3302
775,Condition,,Litter,,Light,,,0,3304
848,Condition,,,,,scratches on mirror,,0,3563
3264,Condition,1,Dispensers Missing Soap,1,,,,0,15304
3350,Condition,1,Litter,1,,light litter in stall,,0,15702
3351,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,15704
3414,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,15936
3415,Condition,1,Dispensers Missing Soap,1,,,,0,15936
3500,Condition,1,Urinals OOS,1,,cracked urinal flooding when flushed,,0,16295
3510,Condition,1,Litter,1,,light litter in stall,,0,16374
3544,Condition,1,Dispensers Missing Soap,1,,,,0,16504
3615,Condition,1,No Toilet Paper,1,,,,0,16772
3616,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,16772
1778,Condition,1,Stalls Missing Doors,1,,,,0,7939
1800,Condition,1,Marker,1,,INSIDE STALL,,0,8009
1913,Condition,1,Stalls Missing Doors,1,,,,0,8675
1912,Condition,1,Spray Paint,1,,on all walls,,0,8677
2088,Condition,1,Dispensers Missing Soap,1,,,,0,9488
22277,Condition,1,Soap Dispensers Damaged,1,,,,0,159485
22353,Condition,,Marker,,,on stall wall.,,0,160472
40352,Condition,,Natural Debris,,Light,", mixed with litter, in restroom.",,0,219449
40354,Condition,,Exterior Deterioration,,Moderate,,,0,219451
40363,Condition,,,,Light,Damaged door.,,0,219451
41484,Condition,,Litter,,Light,in restroom.,,0,221938
33340,Condition,,Marker,,,on stall wall,,0,196351
34474,Condition,1,Dispensers Missing Soap,1,,,,1,201448
34486,Condition,1,Litter,1,Light,,,0,201601
35783,Condition,,Litter,,Light,in toilet.,,0,207985
35788,Condition,1,Litter,1,Light,,,0,208119
36825,Condition,,Litter,,Light,within stalls,,0,209655
36929,Condition,1,Litter,1,Moderate,,,1,210708
42961,Condition,,Litter,,Light,in ADA stall,,0,231549
42984,Condition,1,Dispensers Missing Soap,1,,,,1,231798
42985,Condition,,Scratches,,,on mirror.,,0,231800
43078,Condition,1,Urinals OOS,2,,missing urinal,,0,232885
29903,Condition,1,Toilets OOS,4,,,,0,189065
22520,Condition,,,,Light,External wall chipping paint,,0,162612
44016,Condition,,Litter,,Moderate,within Men's PR,,1,245036
44056,Condition,,Litter,,Light,scattered,,0,245740
24804,Condition,,Mirrors Deteriorated,,Moderate,,,0,169679
24812,Condition,1,,1,Light,etching on mirror in Women RR,,0,169762
24858,Condition,1,Dispensers Missing Soap,1,,,,1,170232
24875,Condition,1,Litter,1,Light,,,0,170415
24897,Condition,,Fixture Deterioration,,Moderate,rust on heat radiator.,,0,170581
24900,Condition,,Paint Uneven / Not Uniform,,Light,on stall wall.,,0,170581
41573,Condition,,Spray Paint,,,/marker on stall wall/wall.,,0,225550
32040,Condition,,Litter,,Light,in toilet.,,0,191990
32044,Condition,1,No Toilet Paper,1,,,,1,192007
32051,Condition,,Litter,,Light,,,0,192075
32108,Condition,,Litter,,Light,in toilet.,,0,192575
32109,Condition,,Wall Deterioration,,Light,,,0,192577
32120,Condition,,Mirrors Deteriorated,,Moderate,,,0,192860
44413,Condition,,Litter,,Light,on floor and toilet paper dispenser,,0,250335
44414,Condition,,Grime,,Light,under hand dryer,,0,250335
44452,Condition,,>15 square feet vertical,,,spray paint/marker in Men's PR,,1,250803
44481,Condition,,Marker,,Light,on toilet paper dispenser,,0,251137
43458,Condition,1,Urinal constantly running,1,,,,0,237331
43497,Condition,1,Dispensers Missing Soap,1,,,,1,237850
43589,Condition,1,Fixture Deterioration,2,Light,light bulb inopeative,,0,238986
43590,Condition,,Ceiling Deterioration,,Light,(damaged) near light fixture,,0,238986
43591,Condition,1,Sink Constantly Running,1,,,,0,238986
37966,Condition,,Marker,,,on stall door,,0,212295
38024,Condition,1,Litter,1,Light,,,0,213114
38059,Condition,,,,,Non-fetid standing water. Noted.,,0,213482
38060,Condition,,Fixture Deterioration,,Light,Drain clogged.,,0,213484
38088,Condition,,Marker,,Light,,,0,213933
38100,Condition,,Litter,,Moderate,in toilet.,,1,213999
38102,Condition,,Floors Deterioration,,Light,,,0,214001
38103,Condition,,Wall Deterioration,,Light,,,0,214001
39162,Condition,1,Toilets OOS,3,Moderate,in the men's restroom.,,0,215790
43192,Condition,,Litter,,Light,in stall,,0,234491
43198,Condition,,Litter,,Light,in Womens RR,,0,234640
43275,Condition,,Marker,,,on stall door.,,0,235478
34570,Condition,1,No Toilet Paper,1,,,,1,203020
34569,Condition,,Marker,,,/scratches on stall walls and mirror.,,0,203022
45426,Condition,1,Dispensers Missing Soap,1,,,,1,265209
44554,Condition,1,Dispensers Missing Soap,1,,,,1,252171
44604,Condition,1,Dispensers Missing Soap,1,,,,1,252190
44599,Condition,,Marker,,,and spray paint on changing table and stall wall,,0,252607
44631,Condition,1,Toilets OOS,11,Light,in the women's restroom.,,0,253192
44679,Condition,1,No Toilet Paper,1,,within Men's PR,,1,253928
43638,Condition,,Litter,,Light,in restroom.,,0,239637
43639,Condition,,Natural Debris,,Light,in restroom.,,0,239637
43691,Condition,1,Urinals OOS,1,,non-stop water running.,,0,240392
43783,Condition,,Floors Deterioration,,Light,& deteriorated concrete near sinks,,0,241441
43782,Condition,,Exterior Deterioration,,Light,concrete cracked on staircase leading to PR,,0,241445
44762,Condition,1,Mirrors Deteriorated,1,Light,above sink.,,0,254731
44779,Condition,1,Dispensers Missing Soap,1,,,,1,254978
44778,Condition,1,Dispensers Missing Soap,1,,,,1,254982
44821,Condition,,Hand Dryer Damaged / OOS,,,,,0,255397
44820,Condition,,Litter,,Light,,,0,255399
44083,Condition,1,No Toilet Paper,1,,,,1,246073
44094,Condition,,Fixture Deterioration,,Light,rusted paper towel holder,,0,246222
44171,Condition,1,Litter,1,Light,,,0,247377
44251,Condition,1,Toilets OOS,23,,in women's PR,,0,248328
44258,Condition,1,Sinks OOS,2,,,,0,248360
44289,Condition,,Scratches,,,on mirror.,,0,248681
44311,Condition,1,Litter,1,Light,,,0,249162
44365,Condition,,Litter,,Light,within stall,,0,249951
45133,Condition,,Litter,,Light,in stall,,0,260394
45222,Condition,,Litter,,Moderate,in restroom.,,0,261934
45280,Condition,,Grime,,Light,on changing table,,0,262668
45326,Condition,,>15 square feet vertical,,,on nearly all stall walls and fixtures,,0,263468
45345,Condition,,Litter,,Light,on floor,,0,263836
28,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,265
164,Condition,,No Paper Towels / Hand Dryer,,,,,0,818
301,Condition,,Marker,,,on paper towel dispenser.,,0,918
268,Condition,1,Dispensers Missing Soap,1,,,,0,1286
303,Condition,,Litter,,Light,,,0,1367
471,Condition,1,No Toilet Paper,1,,,,0,2169
472,Condition,1,Dispensers Missing Soap,1,,,,0,2169
663,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,2737
749,Condition,1,Dispensers Missing Soap,1,,,,0,2941
730,Condition,1,Soap Dispensers Missing,1,,,,0,3041
755,Condition,1,Dispensers Missing Soap,1,,,,0,3192
3293,Condition,1,Dispensers Missing Soap,1,,,,0,15456
3294,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,15456
3326,Condition,1,Dispensers Missing Soap,1,,,,0,15524
3346,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,15656
3357,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,15724
3426,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,15992
3436,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,16060
3511,Condition,1,Marker,1,,on wall and stall,,0,16377
3650,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,17096
3711,Condition,1,Dispensers Missing Soap,1,,,,0,17896
1796,Condition,1,Dispensers Missing Soap,1,,,,0,8004
1797,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,8004
2232,Condition,1,Dispensers Missing Soap,1,,,,0,9940
2233,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,9940
2234,Condition,1,No Toilet Paper,1,,,,0,9940
2259,Condition,1,Towel Dispensers Damaged,1,,,,0,10091
2260,Condition,1,Urinals OOS,1,,,,0,10091
6192,Condition,1,Dispensers Missing Soap,1,,,,1,30432
6207,Condition,1,Dispensers Missing Soap,1,,,,1,30564
6208,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,30564
6285,Condition,1,Hand Dryers Broken,1,,,,1,30949
6299,Condition,,Dispensers Missing Soap,,,No dispensers present,,0,30949
6362,Condition,1,Towel Dispensers Missing,1,,womens room,,1,31434
6683,Condition,1,,1,,No liquid soap,,1,32772
6684,Condition,,,,,Bar soap present,,0,32772
4664,Condition,,Dispensers Missing Soap,,,,,0,22978
4696,Condition,1,Soap Dispensers Missing,1,,,,0,23046
4871,Condition,4,No Toilet Paper,8,,,,0,24029
4885,Condition,,No Paper Towels / Hand Dryer,,,,,0,24029
4886,Condition,,Marker,,,on wall adj entrance,,0,24031
4887,Condition,,Marker,,,on stall door,,0,24031
4889,Condition,,Litter,,Light,,,0,24116
4961,Condition,,Dispensers Missing Soap,,,,,0,24567
4989,Condition,,Grime,,Light,on mirrors,,0,24716
870,Condition,,Spray Paint,,,on door,,0,3790
913,Condition,,Marker,,Light,"on wall, above urinals",,0,4007
914,Condition,,Marker,,Light,on Men's Room door,,0,4007
915,Condition,,Spray Paint,,Moderate,"on stall wall, adj urinals",,0,4007
916,Condition,,Spray Paint,,Light,on exterior of Men's Room,,0,4007
1098,Condition,,Marker,,Light,inside stall door,,0,4679
1107,Condition,1,No Toilet Paper,2,,,,0,4709
1119,Condition,1,,1,,sink has constantly running water,,0,4760
1123,Condition,1,Soap Globe Missing,1,,,,0,4760
43794,Condition,1,Dispensers Missing Soap,1,,,,1,241477
45017,Condition,,Litter,,Light,in Men's PR,,0,258408
45064,Condition,,Marker,,,on door.,,0,259291
45123,Condition,,Litter,,Light,within urinal,,0,260129
43845,Condition,,Spray Paint,,,on stall wall.,,0,242247
43878,Condition,1,Dispensers Missing Soap,1,,,,1,242945
44761,Condition,2,Marker,2,Light,on toilet stall.,,0,254730
44774,Condition,1,Wall Deterioration,1,Light,damaged tile on wall adj hand dryer.,,0,254898
44799,Condition,,Litter,,,in Mens PR stall,,0,255313
44896,Condition,,Exterior Deterioration,,Light,faded womens signage at entrance,,0,256368
44086,Condition,,Litter,,Light,on changing table,,0,246072
44084,Condition,1,Wall Deterioration,1,Light,(stall door does not lock),,0,246074
45441,Condition,,Marker,,,on door frame.,,0,265407
44324,Condition,1,Changing Table Damaged,1,,(opens greater than 90 degrees),,0,249316
44375,Condition,1,Toilets OOS,10,Light,in Mens PR,,0,250033
45127,Condition,1,Urinals OOS,1,,,,0,260312
45232,Condition,2,Fixture Deterioration,2,Light,light covers missing,,0,262067
45297,Condition,,Marker,,,on changing table within Men's PR,,0,263035
45337,Condition,,Marker,,,on stall walls,,0,263703
27,Condition,,Litter,,Light,on floor at toilet,,0,264
128,Condition,,No Paper Towels / Hand Dryer,,,,,0,817
230,Condition,1,Sinks OOS,7,,,,0,1217
231,Condition,1,Toilets OOS,20,,,,0,1217
266,Condition,1,Dispensers Missing Soap,1,,,,0,1285
313,Condition,,Spray Paint,,,,,0,1370
356,Condition,1,Dispensers Missing Soap,1,,,,0,1634
357,Condition,1,Dispensers Missing Soap,1,,,,0,1636
479,Condition,1,Dispensers Missing Soap,1,,,,0,1804
480,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,1804
434,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,2085
435,Condition,1,No Toilet Paper,1,,,,0,2085
713,Condition,,Paint Uneven / Not Uniform,,,,,0,2991
756,Condition,1,Soap Dispensers Missing,1,,,,0,3189
759,Condition,1,Dispensers Missing Soap,1,,,,0,3225
760,Condition,1,No Toilet Paper,1,,,,0,3225
3353,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,15708
3512,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,16376
3513,Condition,1,Dispensers Missing Soap,1,,,,0,16376
3545,Condition,1,Dispensers Missing Soap,1,,,,0,16508
3695,Condition,1,Dispensers Missing Soap,1,,,,0,17712
3708,Condition,1,Soap Dispensers Missing,1,,,,0,17895
3709,Condition,1,Wall Deterioration,1,,heavy,,0,17895
3710,Condition,1,Floors Deterioration,1,,heavy,,0,17895
2031,Condition,,Litter,,Light,,,0,9322
2261,Condition,1,Dispensers Missing Soap,1,,,,0,10092
2262,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,10092
6209,Condition,,Grime,,Light,on wall behind toilet,,0,30563
6266,Condition,,Wall Deterioration,,Moderate,tiles missing,,0,30814
6267,Condition,,Litter,,Light,,,0,30816
6281,Condition,,Litter,,Moderate,,,1,30948
6298,Condition,,Soap Dispensers Missing,,,,,0,30950
6359,Condition,1,Dispensers Missing Soap,1,,womens room,,1,31433
6361,Condition,1,No Paper Towels / Hand Dryer,1,,womens room,,1,31433
6680,Condition,,Paint Uneven / Not Uniform,,,on wall near stall,,0,32769
6681,Condition,1,Soap Globe Missing,1,,,,0,32769
6682,Condition,,Litter,,Light,,,0,32771
6685,Condition,,Paint Uneven / Not Uniform,,Moderate,all over walls,,1,32773
6686,Condition,1,Sinks OOS,1,,(represents at least 25% of fixtures),,1,32773
6706,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,32839
4665,Condition,,Fixture Deterioration,,,mirror removed,,0,22979
4693,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,23045
4695,Condition,1,,1,,No liquid soap,,0,23045
4760,Condition,,Dispensers Missing Soap,,,,,0,23413
4761,Condition,,No Paper Towels / Hand Dryer,,,,,0,23413
4823,Condition,,Dispensers Missing Soap,,,,,0,23781
4872,Condition,1,Toilet Paper Dispensers Damaged,8,,,,0,24030
4873,Condition,1,Soap Dispensers Missing,2,,,,0,24030
4939,Condition,2,Soap Globe Missing,2,,,,0,24432
4990,Condition,1,Dispensers Missing Soap,1,,(bar soap present),,0,24717
17648,Condition,1,,1,,Light missing cover.,,0,108687
13792,Condition,1,Dispensers Missing Soap,1,,,,1,74292
13793,Condition,1,Dispensers Missing Soap,1,,,,1,74310
13814,Condition,,Litter,,Light,in stall,,0,74528
18872,Condition,1,Dispensers Missing Soap,1,,,,1,120302
12983,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,66389
12984,Condition,1,Dispensers Missing Soap,1,,,,1,66389
13071,Condition,,Litter,,Light,in toilet.,,,67476
20282,Condition,1,,1,,Mirror cracked.,,0,135095
20277,Condition,,Scratches,,,on mirror.,,0,135192
20792,Condition,,Litter,,Light,in stall,,0,141411
20810,Condition,,Litter,,Light,in toilet.,,0,141579
20863,Condition,,Spray Paint,,,",marker/scratches on dryer and mirrors.",,0,141830
20847,Condition,1,Dispensers Missing Soap,1,,,,1,142162
20852,Condition,1,Soap Dispensers Damaged,1,,broken.,,0,142197
20894,Condition,,Non-bird Feces,,Light,on toilet,,0,142311
20895,Condition,,Litter,,Light,in stall,,0,142311
16375,Condition,1,Dispensers Missing Soap,1,,,,1,96470
19566,Condition,,Litter,,Light,,,0,127507
19600,Condition,1,Litter,1,Light,womens bathroom.,,0,127858
17667,Condition,,Grime,,Light,on walls & ceiling,,0,109087
17676,Condition,2,Dispensers Missing Soap,2,,,,1,109156
17707,Condition,1,Stalls Missing Doors,3,,,,0,109505
17708,Condition,2,,3,,with half door,,0,109505
17726,Condition,,Spray Paint,,,on door.,,0,109691
17729,Condition,,Litter,,Moderate,at restroom.,,1,109692
17794,Condition,,Litter,,Light,at restroom.,,0,110392
17798,Condition,,Scratches,,,on mirror.,,0,110459
17805,Condition,1,Grime,1,Moderate,in sink,,1,110660
17857,Condition,,Ceiling Deterioration,,Heavy,,,1,111146
15513,Condition,,Litter,,Light,,,0,88831
18983,Condition,1,Dispensers Missing Soap,1,,,,1,121456
21514,Condition,1,>15 square feet vertical,1,,on multiple doors and walls,,1,149835
21525,Condition,,Litter,,Light,in stall,,0,150168
21597,Condition,1,Litter,1,Light,Girls CS.,,0,151336
20340,Condition,,Litter,,Light,,,0,135946
20349,Condition,,,,,light cover missing,,0,136095
20461,Condition,1,Marker,1,Light,"mens bathroom ,hand dryer.",,0,137568
19133,Condition,,Litter,,Light,in stall,,0,123527
19171,Condition,1,Dispensers Missing Soap,1,,,,1,123945
18401,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,115422
18410,Condition,1,Toilets OOS,8,,,,0,115522
18511,Condition,,Sinks OOS,,,ADA stall,,0,116426
18650,Condition,,Ceiling Deterioration,,Light,,,0,117644
18653,Condition,1,Toilets OOS,2,,clogged,,0,117644
18698,Condition,2,Fixture Deterioration,5,,lights out,,0,118012
19708,Condition,,Litter,,Light,at toilet.,,0,128826
19742,Condition,,Spray Paint,,,on dryer.,,0,129125
19746,Condition,,Scratches,,,on mirror.,,0,129193
19747,Condition,,Spray Paint,,,and marker on walls.,,0,129193
19857,Condition,,Floors Deterioration,,,", crack in floor",,0,129880
19881,Condition,,Litter,,Light,in stall,,0,130198
20531,Condition,1,Urinals OOS,6,,,,0,138553
20659,Condition,1,Dispensers Missing Soap,1,,,,1,140057
20660,Condition,1,No Toilet Paper,1,,,,1,140057
21075,Condition,1,Non-bird Feces,1,,on toilet.,,0,144269
21076,Condition,,,,,,,0,144269
21194,Condition,,Litter,,Heavy,in restroom,,1,145255
18743,Condition,1,No Toilet Paper,2,,,,1,118647
18744,Condition,1,Dispensers Missing Soap,1,,,,1,118647
28566,Condition,1,Toilets OOS,1,,no access - stall door locked from the inside,,1,183928
17882,Condition,,Litter,,Moderate,in stalls,,1,111627
25096,Condition,,>15 square feet vertical,,,scratched into stall wall,,1,174199
25124,Condition,,Ceiling Deterioration,,Light,,,0,174650
25128,Condition,,Litter,,Light,at restroom.,,0,174668
25193,Condition,,Litter,,Light,,,0,175489
21745,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,153126
21746,Condition,1,Dispensers Missing Soap,1,,,,1,153126
21773,Condition,1,,1,,Dryer OOS.,,0,153579
21776,Condition,1,Soap Dispensers Missing,1,,,,0,153579
17211,Condition,,Litter,,Light,in stall,,0,104125
21971,Condition,,Paint Uneven / Not Uniform,,Moderate,on stall wall.,,0,156316
21969,Condition,1,No Toilet Paper,1,,,,1,156319
22008,Condition,1,Dispensers Missing Soap,1,Heavy,no saop.,,1,156619
10269,Condition,1,Wall Deterioration,1,,stall door lock broken,,0,50283
10270,Condition,1,Fixture Deterioration,1,,mirror scratched,,0,50283
10327,Condition,1,No Toilet Paper,4,,,,0,50472
10328,Condition,2,Dispensers Missing Soap,2,,,,1,50472
10355,Condition,1,,1,,dryer OOS.,,0,50665
16533,Condition,,Litter,,Light,piece of old caution tape on floor at urinals,,0,98340
16584,Condition,,Marker,,,on hand dryer,,0,98972
16663,Condition,,Dispensers Missing Soap,,,,,1,99651
16664,Condition,,No Paper Towels / Hand Dryer,,,,,1,99651
13538,Condition,1,Fixture Deterioration,1,,toilet seat missing,,0,71171
16261,Condition,1,Dispensers Missing Soap,1,,,,1,94996
16301,Condition,,Stickers,,,on stall wall.,,0,95353
16310,Condition,1,,3,,Lights out,,0,95721
14449,Condition,,Fixture Deterioration,,Light,sink,,0,79477
14476,Condition,,Grime,,Light,/mold on walls near sinks,,0,79738
14561,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,80188
14695,Condition,1,Dispensers Missing Soap,1,,,,1,81167
14696,Condition,1,No Toilet Paper,1,,,,1,81167
11843,Condition,,Dispensers Missing Soap,,,,,1,58671
11941,Condition,1,Dispensers Missing Soap,1,,,,1,59271
12043,Condition,1,,1,,water pressure in sink low,,0,59932
17366,Condition,,,,,Men's room signs missing,,0,105281
10477,Condition,,Fixture Deterioration,,,sink,,0,51226
10483,Condition,2,No Toilet Paper,2,,,,1,51233
10600,Condition,,Marker,,,on mirror at ADA toilet.,,0,51844
17927,Condition,,Paint Uneven / Not Uniform,,Light,on wall.,,0,112094
17938,Condition,,Litter,,Light,in stall,,0,112194
17939,Condition,,Non-bird Feces,,Light,in stall,,0,112194
18009,Condition,2,Dispensers Missing Soap,2,,,,1,112701
18053,Condition,,bird Feces,,Light,on wall below vent,,0,112880
15337,Condition,,Scratches,,,on mirrors.,,0,87433
15338,Condition,,Marker,,,on emergency light.,,0,87433
15372,Condition,2,Dispensers Missing Soap,2,,,,1,87851
15373,Condition,2,No Toilet Paper,2,,,,1,87851
15392,Condition,,Litter,,Light,at toilet.,,0,88019
15428,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,88244
15437,Condition,2,Toilets OOS,2,,won't flush,,0,88319
17011,Condition,1,Soap Dispensers Damaged,1,,,,0,102234
17129,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,103309
18076,Condition,,Ceiling Deterioration,,,chipping paint,,0,113019
18118,Condition,,Litter,,Heavy,in stalls,,1,113280
18166,Condition,,Litter,,Light,,,0,113673
18194,Condition,,Litter,,Light,in stall,,0,113873
18365,Condition,1,Urinals OOS,6,,,,0,115166
17548,Condition,,Litter,,Moderate,in stall.,,1,107539
17582,Condition,,Scratches,,,on stall wall.,,0,107946
17596,Condition,,Litter,,Light,,,0,108182
17633,Condition,,Litter,,Moderate,on floor,,1,108693
13838,Condition,,Litter,,Light,at restroom.,,0,74808
13839,Condition,,Natural Debris,,Light,in urinal.,,0,74808
20207,Condition,,Litter,,Light,in stall,,0,133993
20275,Condition,1,No Toilet Paper,1,,,,1,135190
14720,Condition,,Natural Debris,,Light,at restroom.,,0,81524
14761,Condition,1,Sinks OOS,1,,,,1,81860
14777,Condition,1,Dispensers Missing Soap,1,,,,1,82092
20861,Condition,,Litter,,Light,in toilet.,,0,141831
20901,Condition,1,Dispensers Missing Soap,1,,,,1,142442
16404,Condition,,Litter,,Light,,,0,96975
16419,Condition,1,,1,,Exit sign unlit.,,0,97161
19493,Condition,,Litter,,Light,in toilet.,,0,126609
19529,Condition,1,Dispensers Missing Soap,1,,,,1,127259
19540,Condition,1,Dispensers Missing Soap,1,,,,1,127327
17666,Condition,,Floors Deterioration,,,", rusted.",,0,109093
17687,Condition,,Fixture Deterioration,,,", radiator with rust",,0,109325
17728,Condition,1,Dispensers Missing Soap,2,,,,0,109693
17769,Condition,,Litter,,Moderate,in stall,,1,110172
17778,Condition,,Marker,,,on privacy panel,,0,110354
17784,Condition,,Marker,,Light,on stall door,,0,110415
17789,Condition,1,Dispensers Missing Soap,1,,,,1,110515
15505,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,88744
15542,Condition,,Litter,,Light,,,0,89030
15563,Condition,,Litter,,Moderate,,,1,89105
15586,Condition,1,No Toilet Paper,1,,,,1,89330
15587,Condition,1,Dispensers Missing Soap,1,,,,1,89330
2089,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,9488
2090,Condition,1,No Toilet Paper,1,,,,0,9488
2210,Condition,1,Dispensers Missing Soap,1,,,,0,9888
2211,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,9888
2212,Condition,1,No Toilet Paper,1,,50% no paper,,0,9888
6265,Condition,,Litter,,Light,,,0,30812
6389,Condition,1,Dispensers Missing Soap,1,,mens room,,1,31612
6479,Condition,,Paint Uneven / Not Uniform,,,on wall,,0,32050
6719,Condition,1,Dispensers Missing Soap,1,,,,1,32911
6720,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,32911
6741,Condition,1,No Toilet Paper,2,,,,0,32911
4643,Condition,,Marker,,,beneath sink,,0,22888
912,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,4006
1213,Condition,,Spray Paint,,Moderate,on door of restroom,,0,5206
1214,Condition,,Marker,,Moderate,on stall wall,,0,5206
1215,Condition,,Marker,,Light,on wall,,0,5206
1216,Condition,,Marker,,Moderate,inside stall,,0,5206
1217,Condition,,Marker,,Light,on paper towel dispenser,,0,5206
1218,Condition,,Litter,,Moderate,on floor of restroom,,0,5210
1219,Condition,,Grime,,Moderate,on walls of restroom,,0,5210
1370,Condition,1,Dispensers Missing Soap,1,,,,0,6076
1372,Condition,1,Dispensers Missing Soap,1,,,,0,6078
1393,Condition,,Litter,,Light,,,0,6110
3881,Condition,1,Soap Globe Missing,1,,,,0,19471
3882,Condition,1,Paint Uneven / Not Uniform,1,,,,0,19471
3899,Condition,1,Dispensers Missing Soap,,,,,0,19580
3930,Condition,1,Wall Deterioration,1,,,,0,19775
3933,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,19780
4046,Condition,1,No Paper Towels / Hand Dryer,2,,,,0,20343
5126,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,25396
5127,Condition,1,,1,,No liquid soap,,0,25396
5231,Condition,1,Dispensers Missing Soap,1,,,,0,25857
5232,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,25857
5316,Condition,,Dispensers Missing Soap,,,,,0,26289
5378,Condition,1,Soap Dispensers Damaged,5,,,,0,26627
5379,Condition,1,Toilets OOS,6,,,,0,26627
5472,Condition,1,Dispensers Missing Soap,2,,,,0,26993
5814,Condition,,Litter,,Heavy,in ADA stall,,1,28306
11167,Condition,,Litter,,Light,beneath toilet,,0,54344
11182,Condition,1,,1,,thermostat broken,,0,54369
11280,Condition,4,,6,,Stalls door has chipping paint.,,0,54837
11306,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,55001
11313,Condition,2,No Toilet Paper,3,,,,1,55012
2387,Condition,1,Litter,1,,,,0,10690
2432,Condition,1,Dispensers Missing Soap,1,,,,0,10856
2433,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,10856
2511,Condition,1,Litter,1,,heavyheavy,,0,11226
2612,Condition,1,Litter,1,,light,,0,11658
2613,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,11660
2614,Condition,1,Dispensers Missing Soap,1,,,,0,11660
2684,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,12092
2685,Condition,1,Dispensers Missing Soap,1,,,,0,12092
2736,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,12428
2737,Condition,1,Dispensers Missing Soap,1,,,,0,12428
2749,Condition,1,Dispensers Missing Soap,1,,,,0,12528
2750,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,12528
